MAS: Financial Database - Domestic Interest Rates

Domestic Interest Rates (Daily)
Jan 2006 to Jun 2026


SORA Value Date,,,SORA Publication Date,SORA
2006,Jan,03,04 Jan 2006,3.1885
,,04,05 Jan 2006,3.5468
,,05,06 Jan 2006,3.4750
,,06,09 Jan 2006,3.0801
,,09,11 Jan 2006,2.9060
,,11,12 Jan 2006,3.0986
,,12,13 Jan 2006,3.3281
,,13,16 Jan 2006,3.3249
,,16,17 Jan 2006,3.0105
,,17,18 Jan 2006,3.1667
,,18,19 Jan 2006,3.1131
,,19,20 Jan 2006,3.2044
,,20,23 Jan 2006,3.1510
,,23,24 Jan 2006,3.1155
,,24,25 Jan 2006,2.9098
,,25,26 Jan 2006,2.8898
,,26,27 Jan 2006,3.0182
,,27,01 Feb 2006,3.6060
,Feb,01,02 Feb 2006,3.4386
,,02,03 Feb 2006,3.5541
,,03,06 Feb 2006,3.5051
,,06,07 Feb 2006,3.5395
,,07,08 Feb 2006,3.4016
,,08,09 Feb 2006,3.0374
,,09,10 Feb 2006,2.6593
,,10,13 Feb 2006,2.7431
,,13,14 Feb 2006,2.5628
,,14,15 Feb 2006,2.1267
,,15,16 Feb 2006,1.2181
,,16,17 Feb 2006,2.7975
,,17,20 Feb 2006,3.1073
,,20,21 Feb 2006,3.1117
,,21,22 Feb 2006,3.2628
,,22,23 Feb 2006,3.2529
,,23,24 Feb 2006,3.2830
,,24,27 Feb 2006,3.2046
,,27,28 Feb 2006,3.2239
,,28,01 Mar 2006,3.2955
,Mar,01,02 Mar 2006,3.2346
,,02,03 Mar 2006,3.2600
,,03,06 Mar 2006,3.2514
,,06,07 Mar 2006,3.2358
,,07,08 Mar 2006,3.1483
,,08,09 Mar 2006,3.1567
,,09,10 Mar 2006,3.1998
,,10,13 Mar 2006,3.2077
,,13,14 Mar 2006,3.2641
,,14,15 Mar 2006,3.2018
,,15,16 Mar 2006,3.1904
,,16,17 Mar 2006,3.2276
,,17,20 Mar 2006,3.2299
,,20,21 Mar 2006,3.1631
,,21,22 Mar 2006,3.0864
,,22,23 Mar 2006,3.1715
,,23,24 Mar 2006,3.1645
,,24,27 Mar 2006,3.2517
,,27,28 Mar 2006,3.2352
,,28,29 Mar 2006,3.2050
,,29,30 Mar 2006,2.7648
,,30,31 Mar 2006,2.9968
,,31,03 Apr 2006,3.2054
,Apr,03,04 Apr 2006,3.2243
,,04,05 Apr 2006,3.1695
,,05,06 Apr 2006,3.0961
,,06,07 Apr 2006,2.9340
,,07,10 Apr 2006,3.0613
,,10,11 Apr 2006,3.0925
,,11,12 Apr 2006,3.1143
,,12,13 Apr 2006,3.1210
,,13,17 Apr 2006,3.1027
,,17,18 Apr 2006,3.0038
,,18,19 Apr 2006,2.9481
,,19,20 Apr 2006,2.9509
,,20,21 Apr 2006,2.9546
,,21,24 Apr 2006,2.9643
,,24,25 Apr 2006,2.9774
,,25,26 Apr 2006,3.0759
,,26,27 Apr 2006,3.0957
,,27,28 Apr 2006,3.2451
,,28,02 May 2006,3.2377
,May,02,03 May 2006,3.2041
,,03,04 May 2006,3.0867
,,04,05 May 2006,3.1049
,,05,08 May 2006,3.1387
,,08,09 May 2006,3.0107
,,09,10 May 2006,2.9039
,,10,11 May 2006,3.0011
,,11,15 May 2006,3.0813
,,15,16 May 2006,3.0294
,,16,17 May 2006,3.0148
,,17,18 May 2006,2.9865
,,18,19 May 2006,2.9974
,,19,22 May 2006,2.9630
,,22,23 May 2006,2.8976
,,23,24 May 2006,2.8401
,,24,25 May 2006,2.8323
,,25,26 May 2006,3.1337
,,26,29 May 2006,3.1724
,,29,30 May 2006,2.9495
,,30,31 May 2006,2.9633
,,31,01 Jun 2006,3.1525
,Jun,01,02 Jun 2006,3.1935
,,02,05 Jun 2006,3.2899
,,05,06 Jun 2006,3.2419
,,06,07 Jun 2006,3.1614
,,07,08 Jun 2006,3.2109
,,08,09 Jun 2006,3.1153
,,09,12 Jun 2006,3.1023
,,12,13 Jun 2006,3.0594
,,13,14 Jun 2006,3.1152
,,14,15 Jun 2006,3.1302
,,15,16 Jun 2006,3.2822
,,16,19 Jun 2006,3.3830
,,19,20 Jun 2006,3.3519
,,20,21 Jun 2006,3.3458
,,21,22 Jun 2006,3.2789
,,22,23 Jun 2006,3.2975
,,23,26 Jun 2006,3.3143
,,26,27 Jun 2006,3.2403
,,27,28 Jun 2006,3.2816
,,28,29 Jun 2006,3.3066
