DataSeries,20254Q,20253Q,20252Q,20251Q,20244Q,20243Q,20242Q,20241Q,20234Q,20233Q,20232Q,20231Q,20224Q,20223Q,20222Q,20221Q,20214Q,20213Q,20212Q,20211Q,20204Q,20203Q,20202Q,20201Q,20194Q,20193Q,20192Q,20191Q,20184Q,20183Q,20182Q,20181Q,20174Q,20173Q,20172Q,20171Q,20164Q,20163Q,20162Q,20161Q,20154Q,20153Q,20152Q,20151Q,20144Q,20143Q,20142Q,20141Q,20134Q,20133Q,20132Q,20131Q,20124Q,20123Q,20122Q,20121Q,20114Q,20113Q,20112Q,20111Q,20104Q,20103Q,20102Q,20101Q,20094Q,20093Q,20092Q,20091Q,20084Q,20083Q,20082Q,20081Q,20074Q,20073Q,20072Q,20071Q,20064Q,20063Q,20062Q
Total Government Operating Expenditure,28709.7,23315.7,22559.7,21767.3,28417.6,21913.1,20333.7,18231.2,28613.6,20666.4,20062.2,14486.8,32917.4,19434,17458.5,14628.1,28055.8,18672.9,17793.4,14020.8,24706.3,17346.6,16048.6,14834.7,20430.2,15283.6,13070.5,9882.3,19750.9,14517.6,12976.8,10315.2,18436.6,14157,12128,10859.6,17738.9,13057.1,11510,9822.9,16691.1,12289.1,11122.5,7987.6,13959.5,11325.5,9702.1,7698.1,13032.7,10663.9,9239.9,6788.4,13697.8,8555.4,8113.1,6054.5,12087.4,8414.6,8165.3,6482.7,11948.1,8648.1,7328.5,5345.6,11432.7,7512.1,6695.1,5269.1,10394.8,7144.4,6692.6,4501.8,10251.6,6174,5113.6,4412.9,8651.2,6003.2,5313
    Social Development,14869.6,12409.7,13373.8,13533.9,15755.5,11863.2,11902.6,11903.9,14239.4,12271.4,12723.6,8552.9,18958.3,10386,9177,8185.3,14915.7,10092.4,10327,7957.5,14022.1,9758.5,9402.7,7669.3,10643.6,8496.3,7361.3,5546.3,10413,8057.7,7280.2,5649.4,10498.2,7887.7,6572.4,5891,10414.5,6994.9,6406.1,5124,9903.8,6494,5999.1,3861.4,7793.6,5944.4,5357.6,3516.2,7410.9,5501.9,4709.7,3320.7,6597.6,4363.9,4449.8,3084.2,6121.2,4059,4500.5,3375.7,6217,3978.9,3756,2507.2,5368.2,3476.9,2937.8,2577.2,4473,3371.9,3036.2,1978.9,4181.3,2820.4,2415.7,2055.6,3704.2,2820.7,2201.4
        Education,5547.7,3713.4,3185.4,1822.6,5527.4,3555.3,3593.6,1311.1,5489.8,3164.7,3432.6,1585.5,5223.8,3274.6,3253.6,1138.2,5471.8,2685.5,3174.1,1273.4,4998.7,3185.1,2348,1235.1,4920.6,3228.8,2590.1,1192.6,5286.6,3115.4,2922.9,1104.1,5131.1,3317.3,2536.9,1094.2,5512,2879.1,2336.8,1084.3,4829.5,2788.8,2599.4,1018,4278.3,2960.7,2474.7,998.8,4545,3002.6,2152.1,965.1,3947.2,2422.7,2351.5,915.9,3558.4,2411.5,2407.8,1320.1,3789.6,2347.1,2011.1,851,3308.3,1987.6,1398,1144,2888.9,2066.8,1768.1,752.6,2710.5,1749.3,1367.4,958.4,2491.7,1818.6,1236.6
        Health,4376,4368.9,4216.2,5104.4,4776.4,3848.9,4046.2,4188.2,4649.3,3887.6,3712,3686.5,4957.2,3670.9,3306,3974.5,4547.8,4030,3881.3,3814.6,4921.4,3127.5,3073.1,3188.6,2803.7,2740.5,2333.6,2037,2538.6,2421.2,1882.7,2094.9,2643.6,2175.6,2034.6,1880.6,2353.4,2054.4,1887,1904.6,2706.9,1865.5,1626.3,1321,1720.6,1625.4,1346.4,1179.9,1443.4,1329.9,1222.6,1048,1177.6,1043.8,985.1,859.5,1011,828.3,846.1,803.5,1022.8,805.5,750.4,679.3,835.2,705.4,720.5,659.1,678.9,578.6,564.5,556.6,595.4,500.4,486.3,437.3,591.6,442.6,419.4
        National Development,522.7,1025.7,2625.9,3836.2,1749.1,1313.9,1548.7,3973.4,750.1,2406.5,3213.1,1049.7,5450.5,836.1,530.2,1034,1748.5,1025.8,1013.3,921.9,1406,836.7,1303.2,1080.6,719.1,671.9,666.9,547.9,691.1,716,707.4,826.9,760.7,793.6,499.3,1164.6,667.9,525.3,557.2,533.7,521.3,379.8,196.8,233.7,303.3,166.5,147.1,241,235.5,83.6,111,243.2,296.2,109.2,122.4,421,522.2,147.5,199.7,558.4,261.5,66.5,95.7,365.9,357.4,105.2,245.3,251.4,192.6,124.5,177.4,310.5,259.9,178.5,182.2,279.4,152.7,157,110.8
        Sustainability And The Environment,769.5,655,681.9,592.1,744.8,679.5,673.3,629.7,808.4,543.7,516.9,469,572.7,385.5,436.3,453.8,482.1,442.1,475.5,432.3,452.1,382.9,413.4,397.8,406.1,378.3,379.4,375.8,342,324.9,324.5,303.7,315.8,313.3,310.8,308.3,313.3,323.9,270.1,293.4,299,281.7,273.2,271.2,286.5,265.8,251.4,244.9,275.9,228.8,225.8,227.1,203.6,205.8,206.7,196.5,194.4,180.2,179.2,172.6,214.4,177.9,158.7,169,155,174.5,169.4,157.3,160.3,154.4,170.6,120.4,114.5,112.2,113.9,112.4,97.7,105.9,105.6
"        Culture, Community And Youth",855.3,609.5,503.4,279.3,869.4,529,496.7,176.5,706,582.7,373.3,280.6,917.1,728.9,278.2,348.3,950.7,417.6,470.2,257.4,626.2,580,560.2,161,604.5,418.3,426.4,224.6,465.4,482,545.2,175.5,533,375.3,328,349.9,422.6,316,356.3,349.1,545.5,459.3,565.3,224.5,425,301.3,417.9,190.9,313.9,226.3,307.2,155.6,364.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
        Social And Family Development,1457.4,1308.1,1330.7,1108.5,1303.9,1182.3,980.8,954.2,1164,1028.7,935,872.9,1057.7,942.3,882.2,771.3,1033,980.3,801.3,777.2,955.8,806.1,874,1037.1,717.8,686.9,598.4,831.7,644.9,625.7,523.4,813.6,669.6,531.5,498.1,759.5,603.1,545.4,516.6,723.6,607,458.5,486.2,569.2,412,383.4,473.4,453.6,268.2,372.3,472.1,485.7,366.2,358.5,539.2,475.4,429.7,354.9,540.5,396.4,562.7,459.4,453.1,353.5,527.2,398.9,316,322.7,366.3,359,261.4,195.2,357,193.8,181.1,230.5,227.4,222.3,235.8
        Digital Development And Information,350.4,174.8,271.3,219.2,242.1,291.6,147.6,227.3,198.1,236.8,121.9,161.3,407.1,115.7,129.5,68.9,244.9,136.6,143.1,69.6,273.1,131.2,133.8,72.9,210.9,126.3,119.6,60.6,195.3,118.3,124.3,56.3,198.9,128.3,110.1,58.7,202.1,106.3,83.9,63.8,185.4,99.2,90,49.9,153.9,82.6,88.3,29.6,129.1,109.7,67.2,29.9,98.5,122,139,70.1,214.9,126.1,142.3,41.3,212.5,120.9,112.8,53.8,185.3,105.3,88.6,42.7,185.9,88.5,94.1,43.5,144,86.2,84.7,37.5,143.1,74.2,93.3
        Manpower (Financial Security),990.6,554.5,559,571.7,542.4,462.7,415.6,443.5,473.6,420.7,418.8,447.4,372.2,432.1,361.2,396.2,436.7,374.5,368.2,411.1,388.7,709,697.1,496.3,261,245.2,246.7,276.1,249.2,254.1,249.8,274.3,245.4,252.8,254.7,275.3,340.1,244.5,398.1,171.4,209.1,161.2,161.9,173.8,214.1,158.7,158.4,177.5,200,148.7,151.7,166.1,143.7,101.8,105.9,145.8,190.6,10.5,184.9,83.4,153.5,1.6,174.2,34.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
